file_name,full_waveform_duration,full_waveform_kurtosis,full_waveform_max,full_waveform_mean,full_waveform_median,full_waveform_min,full_waveform_skew,full_waveform_std,swt_a_1_energy_entropy,swt_a_1_high_power_ratio,swt_a_1_higuchi_fractal,swt_a_1_low_power_ratio,swt_a_1_med_power_ratio,swt_a_2_energy_entropy,swt_a_2_high_power_ratio,swt_a_2_higuchi_fractal,swt_a_2_low_power_ratio,swt_a_2_med_power_ratio,swt_a_3_energy_entropy,swt_a_3_high_power_ratio,swt_a_3_higuchi_fractal,swt_a_3_low_power_ratio,swt_a_3_med_power_ratio,swt_a_4_energy_entropy,swt_a_4_high_power_ratio,swt_a_4_higuchi_fractal,swt_a_4_low_power_ratio,swt_a_4_med_power_ratio,swt_d_1_energy_entropy,swt_d_1_high_power_ratio,swt_d_1_higuchi_fractal,swt_d_1_low_power_ratio,swt_d_1_med_power_ratio,swt_d_2_energy_entropy,swt_d_2_high_power_ratio,swt_d_2_higuchi_fractal,swt_d_2_low_power_ratio,swt_d_2_med_power_ratio,swt_d_3_energy_entropy,swt_d_3_high_power_ratio,swt_d_3_higuchi_fractal,swt_d_3_low_power_ratio,swt_d_3_med_power_ratio,swt_d_4_energy_entropy,swt_d_4_high_power_ratio,swt_d_4_higuchi_fractal,swt_d_4_low_power_ratio,swt_d_4_med_power_ratio
BSW_1,680.779,1.7511215259803228,2.012643631996143,0.001947192743560245,-0.11054160181232899,-1.249755999714418,1.5498517339472473,0.29967553458595597,-316708.4242850589,0.3965470387780427,1.0178587335356977,0.3268424185552347,0.12326020867558718,-523408.15808094887,0.37519565971629576,1.0206777209677682,0.3267667324649045,0.11762988867192803,-728808.6375100325,0.37469069940540634,1.0206944290511468,0.32671099276846216,0.11769131924383151,-933767.1307746466,0.3747178896456891,1.0206967215552984,0.3266664929892323,0.11774827633947399,-2321029.31188103,0.3497012524452808,1.0449682818948003,0.3917695288576459,0.12063619411601006,-3713978.9976596837,0.32555897491874153,1.0492616509009187,0.30870392912938077,0.16486771067948092,-5411177.438430088,0.31943602224433887,1.0516936353088175,0.27770719527726095,0.17682782644247028,-7200108.938552193,0.3179163167442397,1.0636029148114665,0.30084561342008054,0.17984618407151065
BSW_2,743.254,2.5492361616635453,1.5786568603655449,-0.0046447776070742295,-0.11645823174276392,-1.318177547641232,1.6816684774311164,0.28184752170421473,-381543.1681898416,0.4112823011225041,1.0147031509780913,0.3187003529825517,0.12608964554889932,-612019.8287087597,0.3936310632955422,1.0174180053510617,0.3189733228456234,0.12051015527509354,-836820.0678016684,0.3931219718784605,1.0174318274460976,0.3190668885205134,0.12043051591414511,-1060632.5233669446,0.39306229193120956,1.0174336538812672,0.31908741175039806,0.12042276740531054,-2762126.325452956,0.3709584559168396,1.0442199386857165,0.4005838178026475,0.11218243669091972,-4296473.701621334,0.34970676369847953,1.0488361239904873,0.3243016988606523,0.1518245002866363,-6184275.138604277,0.3442060910992253,1.054696252663788,0.2969522255925767,0.16363210878195997,-8165950.605590842,0.3428279644963755,1.1040967613930996,0.25730012775659605,0.16663280301723415
BSW_3,657.279,1.9656918518480158,1.3596317362736072,0.039718801253072304,-0.05276307409472848,-0.6429760562274485,1.516592323708504,0.2540179843700679,-484114.9688256033,0.41194048643887393,1.014479156993041,0.30921989574545083,0.12411120173271142,-683130.1796297575,0.3914254364970652,1.0167178878395238,0.3090674321480676,0.11878556372837511,-880875.7292904522,0.3910928077984006,1.0167518837369238,0.30903607394642757,0.11871792183290143,-1078702.556728249,0.39116568510366767,1.0167714163298656,0.3090579882990203,0.11869420773430443,-3520599.6822605343,0.364958337149854,1.0429838040754285,0.39864903916637057,0.11242787364040846,-4864213.136895315,0.3398414197010272,1.0494898662506056,0.32178901939646937,0.15105488483388818,-6434933.675209309,0.3334558881414363,1.0729371909392176,0.2600525151010686,0.16193424191328612,-8080307.941116533,0.33187215425951466,1.2568665994102433,0.45344380482435936,0.16469322907570497
BSW_4,645.639,3.1201502483761887,1.3831178540656688,0.03787679030520456,-0.044679280666404364,-0.8886146845611665,1.8214412770655222,0.2427900916653494,-590646.808199599,0.4185248979280737,1.01418841392633,0.3155221033807491,0.12553857973698868,-777340.869604668,0.4007499572333676,1.0168276118060915,0.31556698910434744,0.12018795434051033,-970439.131913911,0.400330870507113,1.0168468787487048,0.31552231778342477,0.12020974099548598,-1164666.8731527156,0.40035249844360227,1.0168479247805169,0.315468326038153,0.12024571724346118,-3029274.8965740795,0.3775869237997383,1.0431342957999519,0.4055101269997293,0.11113018898429078,-4363200.459761578,0.3552727787417821,1.048642297853724,0.3282262362885658,0.14869958829308164,-5986617.356680756,0.3494778251247951,1.064057035173529,0.2985546518462751,0.16027867493557096,-7679749.836800715,0.3480305318372318,1.2011876423044132,0.2867271505568563,0.16321643624113802
BSW_5,753.209,1.9109291491533797,1.6897893578052623,-0.025320489125662884,-0.11641869678038241,-1.2577572433655189,0.8108395894135405,0.3140148388213713,-292858.7235843853,0.40478422569504485,1.0150341522765962,0.3098147433060474,0.11895224089166317,-522222.2998041699,0.38074416401453665,1.0171726858335068,0.30989531240807366,0.11337944660160139,-749610.0114305672,0.3800708999792048,1.0171788627914808,0.31001281584826024,0.11326108639940669,-976404.2152027759,0.3799810724949389,1.0171854043064483,0.31004552727072743,0.11321444332543543,-3193156.2141766343,0.350410307511754,1.0431690987781552,0.3987419756395005,0.122185882670536,-4754411.114711518,0.3220314508935122,1.0504972504518073,0.32074216428956254,0.16429488466636824,-6624950.428417803,0.31483576071453073,1.080780024193843,0.2892328279779921,0.17537450156182913,-8638484.177739143,0.3130438336676665,1.318779888518367,0.3167275150655174,0.1781441153537982
BSW_6,653.334,5.28452671800088,1.2486257014724234,-0.0031094396590361085,-0.08674849246934911,-0.45671645823497875,2.1315460832054542,0.2217172272903613,-460681.1218457499,0.4162886353248975,1.0157050669698129,0.28879937226433267,0.11522591732215855,-659671.1566528213,0.3969612309846167,1.018073936517073,0.28889036998757633,0.10993705448026518,-856917.4737976666,0.39641634397005104,1.018110244304941,0.28906891250305145,0.10981947797377777,-1053654.7496258637,0.3963325762147885,1.0181146291744219,0.28917901001971574,0.10979280434094488,-2873650.540524224,0.37124592758884406,1.0426806690508306,0.39508839355283526,0.1122329795594963,-4225144.6185167795,0.3472980115377974,1.0480298216101873,0.31806697900269576,0.14615224507854638,-5855071.55755842,0.3411198081771624,1.056370812409166,0.2911405763971359,0.15703663483650043,-7580207.190904943,0.339570220386901,1.1275214293957943,0.2587762570342506,0.15979615399918934
HSU_1,709.165,7.846868428448406,1.2491124912793825,0.005523788954742672,-0.02554775485501571,-1.3738410728524753,-0.3205326800251298,0.24005844165359677,-772025.8055380062,0.4215569441544506,1.0179065558197893,0.2879511653728196,0.1088218246110239,-996310.6116111227,0.4014491506150343,1.0195175451724807,0.28741857002172294,0.10445098091812192,-1210736.0913105116,0.4009602957891655,1.0196031492196882,0.28722800968830203,0.10441875450642056,-1424359.535911958,0.4009365422745124,1.0196232880955178,0.28715319421667385,0.10442676815691995,-2324660.8147094618,0.37427954522238477,1.0420487687075473,0.41607506793069204,0.10401277481426198,-3794008.7805532985,0.3481132672501988,1.0470141734025311,0.3508334388253922,0.13198517600320805,-5596652.693150442,0.34131316194615635,1.0518577563964093,0.3272494447504435,0.14279094934567743,-7488327.836954369,0.33961155795266296,1.0893511195136627,0.28470132366278417,0.14553886260420168
HSU_2,748.089,8.940914479556627,1.3732618832272565,-0.007749586182225654,-0.02852326349625766,-1.6113868457814284,-0.3557002616711361,0.2394804256272059,-818654.8886960292,0.4160110531557571,1.0215906840924416,0.2924462447388862,0.1037279560325992,-1050882.5189545734,0.3943206245357564,1.0242182469447259,0.29251619730534,0.09925847428316374,-1276768.2190493522,0.3937075856259377,1.0243094138369262,0.2921890866563431,0.09917827170708333,-1502165.8028932207,0.3936461284355829,1.0243202073465698,0.29199020554187777,0.0991651547684327,-2282629.6426648963,0.3657240933203017,1.042980019606883,0.39501020244666507,0.1056608769986384,-3835288.9102443466,0.33797696430092217,1.0478572139049966,0.3163751925249074,0.14256405782950565,-5726100.261798166,0.3307621626679335,1.0558942293903106,0.29180527205926127,0.15378370564321656,-7707994.342964537,0.3289517428201655,1.1256086218115362,0.26152233752585174,0.15663124704684578
HSU_3,682.544,9.963761538889635,1.234796593807593,0.004678344056193178,-0.015938973273127478,-1.4122421743851397,-0.3354253025027899,0.22417913801662248,-864595.0697423692,0.4228163993004398,1.018218374744255,0.3061068008505121,0.10898797186551079,-1082934.9391543318,0.40294161482386454,1.01979892710917,0.3055452821193844,0.10472517994269823,-1289875.1524899264,0.4024465739943696,1.0198810470235375,0.30539209404615597,0.10466001005944629,-1495566.2559728697,0.4024366922970824,1.0198986050841659,0.3053928547563626,0.10464434971156951,-2625881.470931424,0.3759002868220116,1.0420752733195147,0.4145620663239618,0.10291934092006198,-4029463.7248941264,0.3495535117929332,1.046802994615312,0.34652133922233896,0.13114947040861522,-5727954.7695861375,0.34268070293901925,1.049482895183223,0.3197237829937523,0.14200179781244018,-7528508.310300712,0.34096052062599586,1.0582050832053616,0.28931499978445646,0.14476737332599546
HSU_4,670.464,7.33230859433205,1.1538472096673071,-0.01603530533453666,-0.045502544657229374,-1.306895491354268,0.07952179288364594,0.23708805764151028,-648584.0051671723,0.4156044460203065,1.0204622109185117,0.27862847121499024,0.0984104545646087,-863316.8927418538,0.3965247654891272,1.0234656490375642,0.27861710915653276,0.09389533609612438,-1066697.7460610936,0.39604040081744435,1.023534503823756,0.27845688342011815,0.0938455231887047,-1268741.8700829428,0.3960301106183285,1.023546295939209,0.27832982832180686,0.09385635981508975,-2327778.512646133,0.3716634177167893,1.0439986184559662,0.39583056257642985,0.10701537514484774,-3693500.3097023275,0.34756991750330035,1.048263301246037,0.3082900302120013,0.14499590008584573,-5363080.931816569,0.3412812850743451,1.050862192579812,0.27467019072945537,0.1566492243652717,-7127036.547338383,0.33970423382287995,1.061594903204704,0.33757790427360385,0.15961089992259034
